OrthoGroup	ScUniProt	ScSystematicID	HsUniProt	HsName	HsORFeomeID	HsEntrez	HsEnsP74	Orthology	CompStatus	ToxStatus	HsOrthoScore	HsOrthoRank	PercentiDLong	Unnamed: 14	Unnamed: 15	Unnamed: 16	Unnamed: 17	Unnamed: 18	Unnamed: 19
65.0	P04801	YIL078W	P26639	TARS	11024@C08	6897.0	ENSP00000387710	1to2	Complement		1.0	1.0	0.54632153						
65.0	P04801	YIL078W	A2RTX5	TARSL2	51010@D02	123283.0	ENSP00000338093	1to2	Non complement		0.423	2.0	0.49376559						
80.0	P14742	YKL104C	O94808	GFPT2	11071@E05	9945.0	ENSP00000253778	1to2	Complement		1.0	1.0	0.55927476						
80.0	P14742	YKL104C	Q06210	GFPT1	31003@H07	2673.0	ENSP00000349860	1to2	Non complement		0.569	2.0	0.55369596						
188.0	Q07478	YDL084W	Q13838	DDX39B	11010@H07	7919.0	ENSP00000379475	1to2	Complement		1.0	1.0	0.61883408						
188.0	Q07478	YDL084W	O00148	DDX39A	31016@A05	10212.0	ENSP00000242776	1to2	Non complement		0.756	2.0	0.61659193						
216.0	P05453	YDR172W	P15170	GSPT1	461_0024@F04	2935.0	ENSP00000399539	1to2	Non complement		1.0	1.0	0.38832117						
216.0	P05453	YDR172W	Q8IYD1	GSPT2	11039@A10	23708.0	ENSP00000341247	1to2	Complement		0.873	2.0	0.42335766						
267.0	P32337	YMR308C	O60518	RANBP6	461_0023@B02	26953.0	ENSP00000259569	1to2	Non complement		0.764	2.0	0.2959276						
267.0	P32337	YMR308C	O00410	IPO5	31037@H03	3843.0	ENSP00000418393	1to2	Complement		1.0	1.0	0.29808569						
274.0	P07263	YPR033C	P49590	HARS2	11076@F05	23438.0	ENSP00000423616	1to2	Non complement		0.52	2.0	0.40842491						
274.0	P07263	YPR033C	P12081	HARS	11067@E03	3035.0	ENSP00000411511	1to2	Complement		1.0	1.0	0.46703297						
276.0	P09938	YJL026W	Q7LG56	RRM2B	51005@B02	50484.0	ENSP00000429578	1to2	Complement		0.323	2.0	0.56641604						
276.0	P09938	YJL026W	P31350	RRM2	11086@A06	6241.0	ENSP00000302955	1to2	Non complement		1.0	1.0	0.5914787						
323.0	P54839	YML126C	P54868	HMGCS2	461_0018@C08	3158.0	ENSP00000439495	1to2	Non complement		0.384	2.0	0.42322835						
323.0	P54839	YML126C	Q01581	HMGCS1		3157.0	ENSP00000399402	1to2	Complement		1.0	1.0	0.43846154						
471.0	P53378	YLR212C	Q9NRH3	TUBG2	11011@G02	27175.0	ENSP00000251412	1to2	Complement		1.0	1.0	0.39323467						
471.0	P53378	YLR212C	P23258	TUBG1	11037@B03	7283.0	ENSP00000251413	1to2	Non complement		0.97	2.0	0.38689218						
532.0	P00817	YBR011C	Q9H2U2	PPA2	31020@F06	27068.0	ENSP00000389957	1to2	Non complement		0.244	2.0	0.44311377						
532.0	P00817	YBR011C	Q15181	PPA1	51030@F07	5464.0	ENSP00000362329	1to2	Complement		1.0	1.0	0.52249135						
572.0	P13393	YER148W	P20226	TBP	51015@A08	6908.0	ENSP00000442132	1to2	Complement		1.0	1.0	0.4719764						
572.0	P13393	YER148W	Q6SJ96	TBPL2	51005@A05	387332.0	ENSP00000247219	1to2	Non complement		0.193	2.0	0.41866667						
604.0	P38221	YBR029C	O95674	CDS2	11063@D10	8760.0	ENSP00000403205	1to2	Complement		0.589	2.0	0.34573304						
604.0	P38221	YBR029C	Q92903	CDS1	461_0017@F04	1040.0	ENSP00000295887	1to2	Non complement		1.0	1.0	0.36659436						
605.0	P40303	YOL038W	O14818	PSMA7		5688.0	ENSP00000359895	1to2	Complement		1.0	1.0	0.57480315						
605.0	P40303	YOL038W	Q8TAA3	PSMA8	11047@C11	143471.0	ENSP00000311121	1to2	Non complement		0.61	2.0	0.54296875						
628.0	P07283	YFL045C	Q92871	PMM1	11048@H04	5372.0	ENSP00000216259	1to2	Non complement		0.265	2.0	0.53816794						
628.0	P07283	YFL045C	O15305	PMM2	11047@E09	5373.0	ENSP00000456774	1to2	Complement		1.0	1.0	0.56299213						
893.0	P15496	YPL117C	Q13907	IDI1	11020@B03	3422.0	ENSP00000370748	1to2	Complement		1.0	1.0	0.41319444						
893.0	P15496	YPL117C	Q9BXS1	IDI2	31019@F05	91734.0	ENSP00000277517	1to2	Non complement		0.389	2.0	0.32986111						
1250.0	P53039	YGR172C	Q969M3	YIPF5	11030@F09	81555.0	ENSP00000425422	1to2	Complement		1.0	1.0	0.35019455						
1250.0	P53039	YGR172C	Q8N8F6	YIPF7	51002@G05	285525.0	ENSP00000332772	1to2	Non complement		0.44	2.0	0.32857143						
1472.0	Q99190	YDL015C	Q9NZ01	TECR	11053@B08	9524.0	ENSP00000215567	1to2	Complement		1.0	1.0	0.30322581						
1472.0	Q99190	YDL015C	Q5HYJ1	TECRL		253017.0	ENSP00000370607	1to2	Non complement		0.432	2.0	0.26721763						
1480.0	P40857	YJL097W	Q6Y1H2	HACD2	31005@G03	201562.0	ENSP00000373153	1to2	Complement		1.0	1.0	0.28740157						
1480.0	P40857	YJL097W	B0YJ81	HACD1	11050@H06	9200.0	ENSP00000355308	1to2	Non complement		0.535	2.0	0.26388889						
1512.0	P38523	YOR232W	Q8TAA5	GRPEL2	31031@B06	134266.0	ENSP00000329558	1to2	Non complement		0.21	2.0	0.25877193						
1512.0	P38523	YOR232W	Q9HAV7	GRPEL1	11046@B05	80273.0	ENSP00000264954	1to2	Complement		1.0	1.0	0.3377193						
1542.0	Q12446	YOR181W	O00401	WASL	31002@A09	8976.0	ENSP00000223023	1to2	Complement		1.0	1.0	0.26698262						
1542.0	Q12446	YOR181W	P42768	WAS	11067@B03	7454.0	ENSP00000365891	1to2	Non complement		0.35	2.0	0.25750395						
1776.0	P07807	YOR236W	Q86XF0	DHFRL1	31001@G03	200895.0	ENSP00000418415	1to2	Non complement		0.874	2.0	0.28909953						
1776.0	P07807	YOR236W	P00374	DHFR	11028@F02	1719.0	ENSP00000421334	1to2	Complement		1.0	1.0	0.30331754						
1925.0	P40518	YIL062C	Q9BPX5	ARPC5L		81873.0	ENSP00000259477	1to2	Complement		1.0	1.0	0.29220779						
1925.0	P40518	YIL062C	O15511	ARPC5	31018@C06	10092.0	ENSP00000294742	1to2	Non complement		0.632	2.0	0.25974026						
	P60010	ACT1	Q562R1	HsACTBL2					Complement										
	P60010	ACT1	P63267	HsACTG2					Complement										
	P60010	ACT1	P68133	HsACTA1					Non Complement										
	P60010	ACT1	P62736	HsACTA2					Non Complement										
	P60010	ACT1	P60709	HsACTB					Non Complement										
	P60010	ACT1	P68032	HsACTC1					Non Complement										
	P60010	ACT1	P63261	HsACTG1					Non Complement										
	P25342	CDC10	Q9P0V9	HsSEPT10					Complement										
	P25342	CDC10	Q9UH03	HsSEPT3					Complement										
	P25342	CDC10	Q14141	HsSEPT6					Complement										
	P25342	CDC10	Q9UHD8	HsSEPT9					Complement										
	P25342	CDC10	Q8WYJ6	HsSEPT1					Non Complement										
	P25342	CDC10	Q9NVA2	HsSEPT11					Non Complement										
	P25342	CDC10	Q8IYM1	HsSEPT12					Non Complement										
	P25342	CDC10	Q6ZU15	HsSEPT14					Non Complement										
	P25342	CDC10	Q15019	HsSEPT2					Non Complement										
	P25342	CDC10	O43236	HsSEPT4					Non Complement										
	P25342	CDC10	Q99719	HsSEPT5					Non Complement										
	P25342	CDC10	Q16181	HsSEPT7					Non Complement										
	P25342	CDC10	Q92599	HsSEPT8					Non Complement										
	P08964	MYO1	P12882	HsMYH1					Complement										
	P08964	MYO1	P35749	HsMYH11					Complement										
	P08964	MYO1	A7E2Y1	HsMYH7B					Complement										
	P08964	MYO1	P35579	HsMYH9					Complement										
	P08964	MYO1	P35580	HsMYH10					Non Complement										
	P08964	MYO1	Q9UKX2	HsMYH2					Non Complement										
	P08964	MYO1	P12883	HsMYH7					Non Complement										
	P02557	TUB2	P04350	HsTUBB4					Complement										
	P02557	TUB2	Q3ZCM7	HsTUBB8					Complement										
	P02557	TUB2	Q9H4B7	HsTUBB1					Non Complement										
	P02557	TUB2	Q13885	HsTUBB2A					Non Complement										
	P02557	TUB2	Q9BVA1	HsTUBB2B					Non Complement										
	P02557	TUB2	P68371	HsTUBB2C					Non Complement										
