yeast_id,human_paralog_id,complements,similarity_score,similarity_rank,method,num_paralogs_in_group,embedding_filename,model,layer_config,similarity_method
P00817,Q15181,TRUE,0.9983798265457152,1,Embeddings,2,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine
P00817,Q9H2U2,FALSE,0.991566240787506,2,Embeddings,2,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine
P02557,Q9H4B7,FALSE,0.9974420070648192,1,Embeddings,9,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine
P02557,Q3ZCM7,TRUE,0.993193507194519,2,Embeddings,9,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine
P02557,Q9BUF5,FALSE,0.9914690852165222,3,Embeddings,9,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine
P02557,Q13509,FALSE,0.9883699417114258,4,Embeddings,9,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine
P02557,Q13885,FALSE,0.977423131465912,5,Embeddings,9,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine
P02557,Q9BVA1,FALSE,0.9750900864601136,6,Embeddings,9,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine
P02557,P04350,TRUE,0.9747403860092164,7,Embeddings,9,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine
P02557,P07437,FALSE,0.9667331576347352,8,Embeddings,9,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine
P02557,P68371,FALSE,0.9663842916488647,9,Embeddings,9,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine
P04801,P26639,TRUE,0.993502914905548,1,Embeddings,2,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine
P04801,A2RTX5,FALSE,0.9857245087623596,2,Embeddings,2,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine
P05453,Q8IYD1,TRUE,0.9813851118087769,1,Embeddings,2,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine
P05453,P15170,FALSE,0.966009795665741,2,Embeddings,2,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine
P07263,P49590,FALSE,0.9901203513145448,1,Embeddings,2,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine
P07263,P12081,TRUE,0.987679660320282,2,Embeddings,2,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine
P07283,O15305,TRUE,0.9910911917686462,1,Embeddings,2,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine
P07283,Q92871,FALSE,0.9897422194480896,2,Embeddings,2,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine
P07807,Q86XF0,FALSE,0.989469349384308,1,Embeddings,2,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine
P07807,P00374,TRUE,0.9836099147796632,2,Embeddings,2,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine
P08964,A7E2Y1,TRUE,0.9754034876823424,1,Embeddings,6,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine
P08964,P35580,FALSE,0.9703440070152284,2,Embeddings,6,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine
P08964,P35749,TRUE,0.9679713249206544,3,Embeddings,6,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine
P08964,P12883,FALSE,0.9608678817749025,4,Embeddings,6,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine
P08964,Q9UKX2,FALSE,0.9600206613540648,5,Embeddings,6,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine
P08964,P12882,TRUE,0.9596747756004332,6,Embeddings,6,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine
P09938,Q7LG56,TRUE,0.992737889289856,1,Embeddings,2,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine
P09938,P31350,FALSE,0.9920983910560608,2,Embeddings,2,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine
P11353,Q9LR75,TRUE,0.9871420860290528,1,Embeddings,2,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine
P11353,Q93Z96,FALSE,0.9700196981430054,2,Embeddings,2,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine
P14742,O94808,TRUE,0.9941830039024352,1,Embeddings,2,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine
P14742,Q06210,FALSE,0.9925048351287842,2,Embeddings,2,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine
P15496,Q9BXS1,FALSE,0.9852951765060424,1,Embeddings,2,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine
P15496,Q13907,TRUE,0.9789034128189088,2,Embeddings,2,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine
P25342,Q8IYM1,FALSE,0.9872838854789734,1,Embeddings,2,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine
P25342,Q9UH03,TRUE,0.9752439260482788,2,Embeddings,2,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine
P32337,O60518,FALSE,0.9893256425857544,1,Embeddings,2,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine
P32337,O00410,TRUE,0.9825507402420044,2,Embeddings,2,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine
P32347,P06132,TRUE,0.9959796071052552,1,Embeddings,4,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine
