yeast_id,complementing_human_id,noncomplementing_human_id,complement_sim,noncomplement_sim,complement_higher,method,num_paralogs,embedding_filename,model,layer_config,similarity_method,similarity_filename,input_file,layer_config_parsed,model_parsed,embedding_type,similarities_method,similarity_method_parsed
P00817,Q15181,Q9H2U2,0.9983798265457152,0.991566240787506,TRUE,Embeddings,2,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,small.fasta,last_1,prot_t5_xl_uniref50,sequence_embeddings,similarities_cosine,cosine
P04801,P26639,A2RTX5,0.993502914905548,0.9857245087623596,TRUE,Embeddings,2,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,small.fasta,last_1,prot_t5_xl_uniref50,sequence_embeddings,similarities_cosine,cosine
P05453,Q8IYD1,P15170,0.9813851118087769,0.966009795665741,TRUE,Embeddings,2,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,small.fasta,last_1,prot_t5_xl_uniref50,sequence_embeddings,similarities_cosine,cosine
P07263,P12081,P49590,0.987679660320282,0.9901203513145448,FALSE,Embeddings,2,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,small.fasta,last_1,prot_t5_xl_uniref50,sequence_embeddings,similarities_cosine,cosine
P07283,O15305,Q92871,0.9910911917686462,0.9897422194480896,TRUE,Embeddings,2,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,small.fasta,last_1,prot_t5_xl_uniref50,sequence_embeddings,similarities_cosine,cosine
P07807,P00374,Q86XF0,0.9836099147796632,0.989469349384308,FALSE,Embeddings,2,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,small.fasta,last_1,prot_t5_xl_uniref50,sequence_embeddings,similarities_cosine,cosine
P09938,Q7LG56,P31350,0.992737889289856,0.9920983910560608,TRUE,Embeddings,2,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,small.fasta,last_1,prot_t5_xl_uniref50,sequence_embeddings,similarities_cosine,cosine
P11353,Q9LR75,Q93Z96,0.9871420860290528,0.9700196981430054,TRUE,Embeddings,2,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,small.fasta,last_1,prot_t5_xl_uniref50,sequence_embeddings,similarities_cosine,cosine
P14742,O94808,Q06210,0.9941830039024352,0.9925048351287842,TRUE,Embeddings,2,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,small.fasta,last_1,prot_t5_xl_uniref50,sequence_embeddings,similarities_cosine,cosine
P15496,Q13907,Q9BXS1,0.9789034128189088,0.9852951765060424,FALSE,Embeddings,2,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,prot_t5_xl_uniref50,last_1,cosine,small.fasta.last_1.prot_t5_xl_uniref50.sequence_embeddings.idx.similarities_cosine,small.fasta,last_1,prot_t5_xl_uniref50,sequence_embeddings,similarities_cosine,cosine
